chat_id,full_message,chat_start_time,chat_end_time,fragment_count,step1_lang,step1_conf,step1_ms,step2_status,translated_text,step2_ms,total_ms
USR_105,Can we hedge the FX risk?,2026-02-15 09:06:12,2026-02-15 09:06:12,1,en,0.752,0.09,english language,Can we hedge the FX risk?,0.0,0.09
USR_108,Urgent: Fed announcement in 5 mins.,2026-02-15 09:13:45,2026-02-15 09:13:45,1,en,0.897,0.08,english language,Urgent: Fed announcement in 5 mins.,0.0,0.09
USR_110,Indices down 2% on open.,2026-02-15 09:20:00,2026-02-15 09:20:00,1,en,0.844,0.08,english language,Indices down 2% on open.,0.0,0.09
USR_112,Client inquiry regarding dividend tax.,2026-02-15 09:22:00,2026-02-15 09:22:00,1,en,0.59,0.08,revision manually,N/A,0.0,0.09
USR_202,I need to deposit funds via wire transfer.,2026-02-15 10:00:02,2026-02-15 10:00:02,1,en,0.879,0.08,english language,I need to deposit funds via wire transfer.,0.0,0.09
USR_204,k,2026-02-15 10:00:04,2026-02-15 10:00:04,1,ja,0.181,0.07,revision manually,N/A,0.0,0.08
USR_206,Ich möchte mein Passwort zurücksetzen.,2026-02-15 10:00:06,2026-02-15 10:00:06,1,de,1.0,0.09,language: de,I would like to reset my password.,622.64,622.73
USR_208,Can you help me?,2026-02-15 10:00:08,2026-02-15 10:00:08,1,en,0.983,0.08,english language,Can you help me?,0.0,0.08
USR_107,Swap rates updated.,2026-02-15 09:12:30,2026-02-15 09:12:30,1,en,0.818,0.08,english language,Swap rates updated.,0.0,0.08
USR_102,Market volatility is high. Adjusting stop-loss levels. Portfolio rebalanced successfully.,2026-02-15 09:00:05,2026-02-15 09:07:01,3,en,0.937,0.1,english language,Market volatility is high. Adjusting stop-loss levels. Portfolio rebalanced successfully.,0.0,0.1
USR_111,New IPO subscription open.,2026-02-15 09:21:00,2026-02-15 09:21:00,1,en,0.719,0.08,english language,New IPO subscription open.,0.0,0.08
USR_201,Vendre 10 lots EUR/USD au prix du marché.,2026-02-15 10:00:01,2026-02-15 10:00:01,1,fr,0.916,0.09,language: fr,Sell ​​10 EUR/USD lots at market price.,137.31,137.4
USR_205,The yield curve is flattening rapidly.,2026-02-15 10:00:05,2026-02-15 10:00:05,1,en,0.973,0.09,english language,The yield curve is flattening rapidly.,0.0,0.09
USR_207,!!! BUY !!!,2026-02-15 10:00:07,2026-02-15 10:00:07,1,de,0.425,0.08,revision manually,N/A,0.0,0.08
USR_101,Executing buy order for 500 shares of AAPL. Order confirmed at 185.20.,2026-02-15 09:00:01,2026-02-15 09:05:00,2,en,0.929,0.09,english language,Executing buy order for 500 shares of AAPL. Order confirmed at 185.20.,0.0,0.1
USR_103,Margin call alert for account XJ9.,2026-02-15 09:01:10,2026-02-15 09:01:10,1,en,0.581,0.08,revision manually,N/A,0.0,0.09
USR_104,Research report: The energy sector is showing bullish signals.,2026-02-15 09:02:15,2026-02-15 09:02:17,3,en,0.868,0.09,english language,Research report: The energy sector is showing bullish signals.,0.0,0.09
USR_106,Gold prices hitting resistance. Wait for breakout before entry.,2026-02-15 09:10:00,2026-02-15 09:10:01,2,en,0.828,0.09,english language,Gold prices hitting resistance. Wait for breakout before entry.,0.0,0.09
USR_109,Checking liquidity for BTC/USD. Spreads are widening. Execution might be delayed.,2026-02-15 09:15:00,2026-02-15 09:15:10,3,en,0.931,0.09,english language,Checking liquidity for BTC/USD. Spreads are widening. Execution might be delayed.,0.0,0.1
USR_203,¿Cuál es el margen requerido para BTC?,2026-02-15 10:00:03,2026-02-15 10:00:03,1,es,0.998,0.1,language: es,What is the margin required for BTC?,166.81,166.92
